artist_id,name,art_form,art_forms,genres,styles,language,languages,city,mood_tags,festivals,popularity,follower_count,verified,era,notable_works,awards,bio
A0000,Chitrasena,film,['film'],"['biographical', 'colonial_era']",['historical_period'],english,['english'],badulla,"['energetic', 'rebel', 'urban_street']",[],emerging,1143,False,contemporary,[],[],
A0001,Nadeesha Herath,drama,['drama'],['immersive_theatre'],['experimental_avant_garde'],sinhala,"['sinhala', 'english']",nuwara_eliya,"['spiritual_trance', 'religious_reverence']",[],mid_tier,2722,False,contemporary,[],[],
A0002,Upeka,film,['film'],['biographical'],['historical_period'],sinhala,['sinhala'],panadura,"['energetic', 'rebel', 'urban_street']",[],emerging,2622,False,contemporary,[],[],
A0003,Samanthi Herath,film,['film'],"['colonial_era', 'biographical', 'supernatural_horror']","['historical_period', 'horror']",sinhala,"['sinhala', 'english']",ratnapura,"['energetic', 'rebel', 'urban_street']",[],mid_tier,1811,False,contemporary,[],[],
A0004,Lakshmi Wickremasinghe,film,['film'],"['colonial_era', 'ancient_sri_lanka']",['historical_period'],tamil,['tamil'],trincomalee,['patriotic'],['thai_pongal'],emerging,884,False,contemporary,[],[],
A0005,Dilshan Fernando,dance,['dance'],['naiyandi'],['kandyan_dance'],sinhala,['sinhala'],kandy,"['heartbreak', 'peaceful']","['poson', 'esala_perahera']",established,1669,False,contemporary,[],[],
A0006,Sunil Edirisinghe,drama,['drama'],"['nadagam', 'family_drama', 'romance_series']","['traditional_theatre', 'teledrama']",sinhala,['sinhala'],kurunegala,"['dramatic_ballad', 'comic_relief']",[],emerging,2949,True,contemporary,[],[],
A0007,W.D. Amaradeva,dance,['dance'],['hip_hop_dance'],['urban_street'],sinhala,"['sinhala', 'english']",chilaw,"['energetic', 'rebel', 'urban_street']",[],emerging,4561,False,contemporary,[],[],
A0008,Tharindu De Silva,music,['music'],"['traditional_baila', 'party_baila']",['baila'],sinhala,['sinhala'],jaffna,"['celebratory', 'energetic', 'party']",[],mid_tier,4020,False,contemporary,[],[],
A0009,Sandani Wickremasinghe,film,['film'],['social_justice'],['political_cinema'],sinhala,"['sinhala', 'english']",colombo,"['melancholic', 'suspense']",[],established,870,True,contemporary,[],[],
A0010,Nuwan Herath,dance,['dance'],['vannam_dance'],['kandyan_dance'],sinhala,['sinhala'],matale,"['tense', 'mythological']","['esala_perahera', 'poson']",mid_tier,4700,False,contemporary,[],[],
A0011,Sachini Kumara,dance,['dance'],"['locking', 'wedding_dances']","['urban_street', 'muslim_cultural_dance']",sinhala,['sinhala'],nuwara_eliya,"['ceremonial', 'devotional', 'war_tension']",[],mid_tier,1118,False,contemporary,[],[],
A0012,Sachini Dissanayake,dance,['dance'],"['harvest_dances', 'ves_dance']","['folk_dance', 'kandyan_dance']",sinhala,['sinhala'],nuwara_eliya,"['joyful', 'heartbreak']","['poson', 'esala_perahera']",emerging,1340,False,contemporary,[],[],
A0013,Sanuka Wickramasinghe,drama,['drama'],"['opera', 'political_series']","['musical_drama', 'teledrama']",sinhala,"['sinhala', 'english']",jaffna,"['urban_street', 'motivational']",[],emerging,4742,False,contemporary,[],[],
A0014,Ashanthi De Alwis,music,['music'],['sinhala_rap'],['hip_hop_rap'],english,['english'],panadura,"['energetic', 'rebel', 'urban_street']",[],emerging,2891,False,contemporary,[],[],
A0015,Kavitha Fernando,dance,['dance'],"['sanni_yakuma', 'kolam_dance']",['low_country_dance'],tamil,['tamil'],galle,['sad'],['thai_pongal'],emerging,3639,False,contemporary,[],[],
A0016,Ravibandu Vidyapathi,dance,['dance'],"['kpop_cover', 'locking', 'interpretative']","['urban_street', 'contemporary_modern']",sinhala,"['sinhala', 'english']",kandy,"['joyful', 'romantic']",[],emerging,907,True,contemporary,[],[],
A0017,Iraj Weeraratne,dance,['dance'],"['drum_centered', 'devil_dance', 'kolam_dance']","['sabaragamuwa_dance', 'low_country_dance']",english,['english'],hambantota,['expressive'],[],emerging,1733,False,contemporary,[],[],
A0018,Hiruni Wijesinghe,drama,['drama'],"['immersive_theatre', 'physical_theatre']",['experimental_avant_garde'],sinhala,"['sinhala', 'english']",negombo,['dramatic_ballad'],[],emerging,81,False,contemporary,[],[],
A0019,Nalaka Weerasinghe,film,['film'],"['avant_garde', 'supernatural_horror']","['experimental_independent', 'horror']",sinhala,"['sinhala', 'english']",chilaw,"['peaceful', 'suspense']",[],emerging,4056,False,contemporary,[],[],
A0020,Sashika Nisansala,film,['film'],"['romantic_drama', 'romantic_comedy']",['romantic'],english,['english'],ambalangoda,"['romantic', 'emotional']",[],emerging,3652,False,contemporary,[],[],
A0021,Amila De Silva,dance,['dance'],"['ves_dance', 'drum_centered', 'ritual_based']","['kandyan_dance', 'sabaragamuwa_dance']",sinhala,['sinhala'],nuwara_eliya,['meditative'],"['esala_perahera', 'poson']",emerging,3284,False,contemporary,[],[],
A0022,Dilini Silva,music,['music'],['folk_fusion'],['fusion'],english,['english'],kandy,['ritualistic'],[],emerging,3616,True,contemporary,[],[],
A0023,Thiru Bandara,dance,['dance'],"['wedding_dances', 'new_year_dances', 'village_festival_dances']","['muslim_cultural_dance', 'folk_dance']",tamil,['tamil'],trincomalee,"['sacred', 'spiritual', 'political_intensity']",['deepavali'],mid_tier,870,False,contemporary,[],[],
A0024,Vindya Jayawardena,music,['music'],"['ethnic_electronic', 'classical_fusion', 'drill', 'sinhala_rap']","['fusion', 'hip_hop_rap']",sinhala,"['sinhala', 'english']",galle,"['energetic', 'rebel', 'urban_street']",[],mid_tier,3340,True,contemporary,[],[],
A0025,Nalaka Dissanayake,film,['film'],"['comedy_commercial', 'romantic_commercial']",['commercial_cinema'],sinhala,['sinhala'],hambantota,"['romantic', 'emotional']",[],emerging,4077,False,contemporary,[],[],
A0026,Kavinda Liyanage,music,['music'],"['sad_songs', 'ballads', 'modern_baila', 'party_baila']","['sinhala_commercial', 'baila']",sinhala,['sinhala'],matale,"['celebratory', 'energetic', 'party']",[],emerging,4281,False,contemporary,[],[],
A0027,Hashini Samaraweera,music,['music'],['modern_baila'],['baila'],english,['english'],panadura,"['celebratory', 'energetic', 'party']",[],mid_tier,1473,True,contemporary,[],[],
A0028,Neela Wickremasinghe,dance,['dance'],"['bharatanatyam', 'naiyandi', 'pantheru']","['tamil_classical', 'kandyan_dance']",sinhala,['sinhala'],matale,"['satirical', 'dramatic_ballad']","['vesak', 'poson']",emerging,3704,True,contemporary,[],[],
A0029,Edward Jayakody,drama,['drama'],"['romance_series', 'crime_series']",['teledrama'],sinhala,['sinhala'],matara,['meditative'],[],established,1805,False,contemporary,[],[],
A0030,Angeline Gunathilaka,dance,['dance'],"['wedding_dances', 'ceremonial_dances']",['muslim_cultural_dance'],english,['english'],panadura,"['tense', 'spiritual', 'ceremonial']",[],mid_tier,2552,False,contemporary,[],[],
A0031,Kasun Gunawardena,film,['film'],"['police_procedural', 'crime_drama']",['thriller_crime'],sinhala,"['sinhala', 'english']",mannar,"['political_intensity', 'dramatic_ballad']",[],established,3115,False,contemporary,[],[],
A0032,Malini Bulathsinghala,film,['film'],"['realism', 'social_realism']",['art_parallel_cinema'],tamil,['tamil'],trincomalee,"['spiritual_trance', 'political_awareness']",[],mid_tier,515,False,contemporary,[],[],
A0033,Amarasiri Peiris,drama,['drama'],['political_theatre'],['modern_stage_drama'],english,['english'],matara,"['rhythmic', 'fusion_energy']",[],emerging,4736,False,contemporary,[],[],
A0034,Kavitha Weerasinghe,film,['film'],"['biographical', 'colonial_era', 'romantic_drama', 'romantic_comedy']","['historical_period', 'romantic']",tamil,['tamil'],jaffna,"['energetic', 'rebel', 'urban_street']",['deepavali'],mid_tier,1549,False,contemporary,[],[],
A0035,Ayesha Rathnayake,film,['film'],"['ancient_sri_lanka', 'colonial_era']",['historical_period'],english,['english'],ratnapura,"['heartbreak', 'spiritual_trance']",[],emerging,489,False,contemporary,[],[],
A0036,Chathurika Wijesinghe,music,['music'],['sad_songs'],['sinhala_commercial'],english,['english'],batticaloa,"['rebel', 'reflective']",[],established,2857,False,contemporary,[],[],
A0037,Premasiri Khemadasa,drama,['drama'],['literary_adaptation'],['modern_stage_drama'],tamil,['tamil'],kilinochchi,"['melancholic', 'celebratory']",['thai_pongal'],mid_tier,4770,False,contemporary,[],[],
A0038,Nimesh Ekanayake,drama,['drama'],"['sokari', 'kolam_theatre', 'literary_adaptation', 'political_theatre']","['traditional_theatre', 'modern_stage_drama']",sinhala,['sinhala'],jaffna,['romantic'],"['vesak', 'esala_perahera']",mid_tier,1611,True,contemporary,[],[],
A0039,Dharmadasa Walpola,music,['music'],['sad_songs'],['sinhala_commercial'],tamil,['tamil'],trincomalee,['emotional'],['thai_pongal'],mid_tier,2492,False,contemporary,[],[],
A0040,Chitral Somapala,drama,['drama'],"['physical_theatre', 'immersive_theatre', 'crime_series', 'romance_series']","['experimental_avant_garde', 'teledrama']",sinhala,"['sinhala', 'english']",ratnapura,"['devotional', 'heroic']",[],established,1780,False,contemporary,[],[],
A0041,Kavinda Selvam,dance,['dance'],"['pantheru', 'ves_dance']",['kandyan_dance'],sinhala,['sinhala'],nuwara_eliya,['emotional'],"['vesak', 'poson']",emerging,4533,True,contemporary,[],[],
A0042,Vindya Jayasuriya,dance,['dance'],"['uddekki', 'ves_dance']",['kandyan_dance'],sinhala,['sinhala'],nuwara_eliya,"['cultural_pride', 'serious', 'rhythmic']",[],emerging,920,False,contemporary,[],[],
A0043,Shanika Madumali,dance,['dance'],"['cha_cha', 'tango', 'bharatanatyam']","['ballroom_western', 'tamil_classical']",sinhala,['sinhala'],ampara,"['uplifting', 'thriller_tension']",['vesak'],mid_tier,954,False,contemporary,[],[],
A0044,Lakshman Gunasekara,drama,['drama'],['sokari'],['traditional_theatre'],sinhala,['sinhala'],badulla,['festive'],"['vesak', 'esala_perahera']",emerging,867,False,contemporary,[],[],
A0045,Sachini Sivarajah,music,['music'],"['sinhala_rap', 'drill', 'film_songs']","['hip_hop_rap', 'film_music']",sinhala,"['sinhala', 'english']",anuradhapura,"['energetic', 'rebel', 'urban_street']",[],established,2247,False,contemporary,[],[],
A0046,Saman Pathirana,music,['music'],['sinhala_rap'],['hip_hop_rap'],english,['english'],jaffna,"['energetic', 'rebel', 'urban_street']",[],emerging,3967,False,contemporary,[],[],
A0047,Malsha Samaraweera,dance,['dance'],['ves_dance'],['kandyan_dance'],sinhala,['sinhala'],matale,"['thriller_tension', 'graceful', 'angry']","['esala_perahera', 'poson']",mid_tier,1120,False,contemporary,[],[],
A0048,Vasanthi Rathnayake,drama,['drama'],"['stage_musicals', 'opera']",['musical_drama'],tamil,['tamil'],trincomalee,['war_tension'],[],emerging,4335,False,contemporary,[],[],
A0049,Ruwan Rathnayake,music,['music'],"['acoustic_pop', 'ballads']",['sinhala_commercial'],sinhala,"['sinhala', 'english']",kegalle,"['reflective', 'spiritual', 'suspenseful']",[],emerging,1404,True,contemporary,[],[],
A0050,Gayan Selvam,drama,['drama'],"['family_drama', 'romance_series']",['teledrama'],english,['english'],jaffna,['peaceful'],[],emerging,4133,False,contemporary,[],[],
A0051,Madhavi Pathirana,music,['music'],"['harvest_songs', 'virindu', 'sinhala_classical']","['traditional_indigenous', 'classical_semi_classical']",sinhala,['sinhala'],ratnapura,"['political_awareness', 'social_critique', 'uplifting']","['poson', 'esala_perahera']",emerging,1876,False,contemporary,[],[],
A0052,Roshan Weerasinghe,film,['film'],"['low_budget_indie', 'avant_garde']",['experimental_independent'],sinhala,['sinhala'],negombo,"['ceremonial', 'celebratory', 'danceable']",[],emerging,4326,False,contemporary,[],[],
A0053,Buddhika Jayasuriya,music,['music'],"['traditional_baila', 'modern_baila']",['baila'],sinhala,['sinhala'],galle,"['celebratory', 'energetic', 'party']",[],established,3268,True,contemporary,[],[],
A0054,Nishani Silva,dance,['dance'],"['devil_dance', 'interpretative']","['low_country_dance', 'contemporary_modern']",english,['english'],hambantota,"['satirical', 'serious', 'comic_relief']",[],mid_tier,3595,False,contemporary,[],[],
A0055,Lakshman Selvam,drama,['drama'],"['social_drama', 'immersive_theatre', 'physical_theatre']","['modern_stage_drama', 'experimental_avant_garde']",english,['english'],puttalam,"['traditional', 'national_pride', 'dramatic_ballad']",[],mid_tier,1181,False,contemporary,[],[],
A0056,Mohan Senanayake,film,['film'],"['romantic_drama', 'military_themes']","['romantic', 'war_films']",tamil,['tamil'],kilinochchi,"['romantic', 'emotional']",[],emerging,995,False,contemporary,[],[],
A0057,Buddhika Gunasekara,drama,['drama'],"['opera', 'stage_musicals']",['musical_drama'],sinhala,['sinhala'],colombo,"['dark', 'reflective']",[],mid_tier,1368,False,contemporary,[],[],
A0058,Angelo Jayawardena,film,['film'],"['romantic_commercial', 'comedy_commercial']",['commercial_cinema'],sinhala,['sinhala'],ambalangoda,"['romantic', 'emotional']",[],established,4652,False,contemporary,[],[],
A0059,Danushka Rajapaksa,drama,['drama'],['historical_series'],['teledrama'],english,['english'],kilinochchi,"['religious_reverence', 'psychological', 'reflective']",[],mid_tier,3679,False,contemporary,[],[],
A0060,Sanduni Nadarajah,film,['film'],"['romantic_comedy', 'ancient_sri_lanka', 'biographical']","['romantic', 'historical_period']",sinhala,"['sinhala', 'english']",kandy,"['energetic', 'rebel', 'urban_street']",[],emerging,2336,False,contemporary,[],[],
A0061,Nimesh Jayawardena,dance,['dance'],['ceremonial_dances'],['muslim_cultural_dance'],english,['english'],polonnaruwa,['energetic'],[],emerging,2517,False,contemporary,[],[],
A0062,Lasith Sivarajah,film,['film'],['civil_war_narratives'],['war_films'],sinhala,['sinhala'],ratnapura,"['suspenseful', 'rhythmic', 'inspirational_biographical']",[],emerging,1797,False,contemporary,[],[],
A0063,Amila Samaraweera,film,['film'],"['biographical', 'ancient_sri_lanka']",['historical_period'],sinhala,['sinhala'],anuradhapura,"['energetic', 'rebel', 'urban_street']",[],mid_tier,2047,False,contemporary,[],[],
A0064,Ganesh Rajapaksa,film,['film'],"['symbolic_cinema', 'festival_cinema']",['art_parallel_cinema'],tamil,['tamil'],jaffna,"['heartbreak', 'social_critique', 'fierce']",['deepavali'],emerging,724,False,contemporary,[],[],
A0065,Dilshan Liyanage,dance,['dance'],"['tango', 'uddekki']","['ballroom_western', 'kandyan_dance']",sinhala,['sinhala'],kandy,['tragic'],"['poson', 'esala_perahera']",mid_tier,244,False,contemporary,[],[],
A0066,Vijay Kumar,film,['film'],['social_realism'],['art_parallel_cinema'],tamil,['tamil'],jaffna,"['heroic', 'spiritual_trance', 'rebel']",['thai_pongal'],emerging,1019,False,contemporary,[],[],
A0067,Dinesh Fernando,music,['music'],"['background_scores', 'raban_music']","['film_music', 'traditional_indigenous']",sinhala,['sinhala'],ratnapura,"['political_awareness', 'intense', 'rural_village']",['esala_perahera'],emerging,4420,True,contemporary,[],[],
A0068,Lasith Dissanayake,drama,['drama'],"['immersive_theatre', 'family_drama', 'romance_series']","['experimental_avant_garde', 'teledrama']",sinhala,['sinhala'],gampaha,['dramatic_ballad'],[],emerging,2866,True,contemporary,[],[],
A0069,Dilshan Gunasekara,dance,['dance'],['bharatanatyam'],['tamil_classical'],sinhala,['sinhala'],negombo,['reflective'],"['esala_perahera', 'vesak']",emerging,4806,False,contemporary,[],[],
A0070,Dinesh Dissanayake,film,['film'],['colonial_era'],['historical_period'],sinhala,['sinhala'],matale,"['romantic_longing', 'fierce']",[],mid_tier,1298,False,contemporary,[],[],
A0071,Ayesha Selvam,film,['film'],"['police_procedural', 'civil_war_themes']","['thriller_crime', 'political_cinema']",english,['english'],galle,"['serious', 'party']",[],emerging,2552,False,contemporary,[],[],
A0072,Roshan Perera,music,['music'],['background_scores'],['film_music'],sinhala,"['sinhala', 'english']",ampara,['spiritual_trance'],[],mid_tier,202,False,contemporary,[],[],
A0073,Shehan Gunawardena,music,['music'],"['film_songs', 'metal', 'alternative_rock']","['film_music', 'rock_alternative']",sinhala,"['sinhala', 'english']",ambalangoda,"['ceremonial', 'urban_street']",[],emerging,3030,False,contemporary,[],[],
A0074,Ragavan Wickremasinghe,dance,['dance'],"['ritual_based', 'drum_centered', 'cha_cha']","['sabaragamuwa_dance', 'ballroom_western']",tamil,['tamil'],jaffna,['romantic_longing'],[],emerging,1743,False,contemporary,[],[],
A0075,Karthik Sivarajah,film,['film'],['supernatural_horror'],['horror'],tamil,['tamil'],jaffna,"['political_intensity', 'national_pride', 'spiritual_trance']",[],mid_tier,687,False,contemporary,[],[],
A0076,Saman Rajapaksa,drama,['drama'],"['literary_adaptation', 'political_theatre', 'stage_musicals', 'opera']","['modern_stage_drama', 'musical_drama']",english,['english'],kandy,['joyful'],[],emerging,1339,False,contemporary,[],[],
A0077,Kavinda Fernando,music,['music'],"['sinhala_rock', 'alternative_rock']",['rock_alternative'],english,['english'],trincomalee,['suspenseful'],[],emerging,1097,False,contemporary,[],[],
A0078,Thisara Bandara,dance,['dance'],['tango'],['ballroom_western'],sinhala,['sinhala'],kandy,"['angry', 'political_intensity']",[],mid_tier,2372,False,contemporary,[],[],
A0079,Shehan Gunasekara,dance,['dance'],"['breaking', 'kpop_cover']",['urban_street'],english,['english'],puttalam,['angry'],[],emerging,2857,False,contemporary,[],[],
A0080,Thilini De Silva,music,['music'],['sinhala_rock'],['rock_alternative'],sinhala,['sinhala'],matale,"['satirical', 'rhythmic', 'mysterious']",[],established,4963,True,contemporary,[],[],
A0081,Chaminda Herath,music,['music'],['party_baila'],['baila'],english,['english'],batticaloa,"['celebratory', 'energetic', 'party']",[],mid_tier,1929,False,contemporary,[],[],
A0082,Chathura Thiyagarajah,drama,['drama'],"['opera', 'crime_series']","['musical_drama', 'teledrama']",english,['english'],monaragala,['peaceful'],[],emerging,94,False,contemporary,[],[],
A0083,Yashodha Senanayake,music,['music'],['classical_vocal'],['classical_semi_classical'],sinhala,['sinhala'],chilaw,['religious_reverence'],['esala_perahera'],mid_tier,2190,False,contemporary,[],[],
A0084,Ruwan Gunasekara,drama,['drama'],"['immersive_theatre', 'physical_theatre']",['experimental_avant_garde'],english,['english'],ampara,"['thriller_tension', 'tense', 'heartbreak']",[],established,4782,False,contemporary,[],[],
A0085,Roshan Fernando,drama,['drama'],"['sokari', 'nadagam', 'social_drama']","['traditional_theatre', 'modern_stage_drama']",sinhala,['sinhala'],batticaloa,"['danceable', 'psychological']","['poson', 'vesak']",mid_tier,1240,False,contemporary,[],[],
A0086,Nadeesha Jayawardena,drama,['drama'],['crime_series'],['teledrama'],sinhala,['sinhala'],puttalam,['meditative'],[],mid_tier,2396,False,contemporary,[],[],
A0087,Malsha Silva,music,['music'],"['traditional_baila', 'party_baila', 'bhakti_songs', 'buddhist_devotional']","['baila', 'devotional_religious']",sinhala,['sinhala'],ratnapura,"['spiritual', 'devotional']","['poson', 'vesak']",emerging,52,False,contemporary,[],[],
A0088,Anusha Kumara,music,['music'],"['alternative_rock', 'tamil_rock', 'sinhala_rap']","['rock_alternative', 'hip_hop_rap']",sinhala,['sinhala'],ampara,"['energetic', 'rebel', 'urban_street']",[],mid_tier,2896,False,contemporary,[],[],
A0089,Kamala Jayasuriya,film,['film'],"['colonial_era', 'ancient_sri_lanka']",['historical_period'],tamil,['tamil'],kilinochchi,"['satirical', 'emotional']",[],mid_tier,2161,False,contemporary,[],[],
A0090,Dilshan Nadarajah,film,['film'],"['detective', 'police_procedural']",['thriller_crime'],english,['english'],anuradhapura,"['patriotic', 'thriller_tension']",[],mid_tier,1855,False,contemporary,[],[],
A0091,Ruwan Kumar,dance,['dance'],"['theatrical_dance', 'harvest_dances', 'village_festival_dances']","['contemporary_modern', 'folk_dance']",sinhala,['sinhala'],jaffna,"['danceable', 'joyful', 'psychological']",[],emerging,4749,True,contemporary,[],[],
A0092,Vindya Sivarajah,dance,['dance'],['bharatanatyam'],['tamil_classical'],sinhala,['sinhala'],galle,['heroic'],[],emerging,923,True,contemporary,[],[],
A0093,Gayan Rathnayake,music,['music'],['buddhist_devotional'],['devotional_religious'],sinhala,['sinhala'],trincomalee,"['spiritual', 'devotional']",['poson'],emerging,1548,False,contemporary,[],[],
A0094,Malsha Ekanayake,film,['film'],['avant_garde'],['experimental_independent'],english,['english'],trincomalee,"['romantic', 'satirical', 'chill']",[],emerging,1036,False,contemporary,[],[],
A0095,Thilini Amarasinghe,drama,['drama'],['sokari'],['traditional_theatre'],sinhala,['sinhala'],matale,"['dramatic', 'historical_nostalgia']",['poson'],emerging,2256,False,contemporary,[],[],
A0096,Suresh Ranasinghe,film,['film'],"['supernatural_horror', 'psychological_horror']",['horror'],tamil,['tamil'],trincomalee,"['national_pride', 'fierce']",[],emerging,868,False,contemporary,[],[],
A0097,Dilini Samaraweera,dance,['dance'],['sri_lankan_contemporary'],['contemporary_modern'],sinhala,"['sinhala', 'english']",trincomalee,['tense'],[],mid_tier,4285,False,contemporary,[],[],
A0098,Sachini Gunasekara,film,['film'],"['hindu_mythology', 'avant_garde']","['religious_mythological', 'experimental_independent']",sinhala,['sinhala'],matale,"['suspense', 'dramatic']",[],emerging,4640,False,contemporary,[],[],
A0099,Malsha Gunawardena,film,['film'],['police_procedural'],['thriller_crime'],sinhala,"['sinhala', 'english']",kurunegala,"['tragic', 'tense', 'rural_village']",[],emerging,3711,False,contemporary,[],[],
